id,category_id,state,title,type,naic_code,buyer,deadline,agency,contract_link,notice_id,purchasing_department,contact_office_name,contact_officer_number,contact_officer_email,keywords,status,highlight,create_date,create_time,show_on_front,description
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",OH,"30--GEAR SET,SPUR,MATCH",Federal,,Department of Defense,3-Jun-22,Department of Defense,https://sam.gov/opp/76b1e2b9f8f6497cb7c6a4d90f2455f4/view,"SPE7L722T4134    		    		 ",Purchasing,,703-695-7145,DibbsBSM@dla.mil,,,,,,,"Proposed procurement for NSN 3020015558989 GEAR SET,SPUR,MATCH: Line 0001 Qty 1 UI EA Deliver To: W1A8 DLA DISTRIBUTION By: 0165 DAYS ADO Approved sources are 17454 0038G4122G-1 ITEM 57; 17454 00577L968G-9; 17454 577L968G-9. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically."
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",OK,FD2030-22-01096,Federal,,Department of Defense,7-Apr-23,Department of Defense,https://sam.gov/opp/a1062ff1e8474ea5a59eae6592761526/view,"FD2030-22-01096    		    		 ",Purchasing,,703-695-7145,,,,,,,,"NSN: 3110-00-416-9422NZ NOUN: BEARING, ROLLER, CYLI TOP DRAWING: 4035597 EDL REVISION: 19? ? ? ?DATE: 01-25-2022 MDC CODE: WCE IM NAME: DIVIS, ANGELA R."
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",OK,FD2030-22-00225,Federal,,Department of Defense,29-Nov-22,Department of Defense,https://sam.gov/opp/28b118a03fa84fab9bc5483ef8dcb547/view,"FD2030-22-00225    		    		 ",Purchasing,,703-695-7145,,,,,,,,"NSN: 3130-01-217-3320HS? ? NOUN:? HOUSING, BEARING UNI TOP DRAWING:? 751647-1-1? ? EDL REVISION & DATE:? 5 / 19 JUL 2021? ? ? ? MDC CODE:? EHA? ? ? IM NAME: BELL, WESLEY R? ??"
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",OR,Total Small Business Set-Aside (FAR 19.5): Brand Name Ball Bearings FY22 LOP/HCR JT Spillway line shaft bearings,Federal,,Department of Defense,9-Jun-22,Department of Defense,https://sam.gov/opp/3f8faf0450bb4880b4d1bd348a9087fa/view,"W9127N22Q0103    		    		 ",Purchasing,,703-695-7145,JEFFERY.B.FEENEY@USACE.ARMY.MIL,,,,,,,"This is a combined synopsis for a brand name MFG:? Timken EDT bearings and insert.?? Item 0001 --?TIMKEN EDT?QFIUKT-40 SPLIT POLY-ROUND, 24 EA.? FOB: Destination Item 0002 -- TIMKEN EDT?TIMKEN EDT,?QF1AKT5T-40- OS INSERT ONLY, 18 EA.? FOB: Destination (Please do not insert pricing into the subclins)? Call JEFFERY FEENEY, at 720-568-0387 if clarification is needed, or contact me thru SAM.GOV regarding this quote.? ?"
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",PA,"31--BEARING, IN REPAIR/MODIFICATION OF",Federal,,Department of Defense,6-Jun-22,Department of Defense,https://sam.gov/opp/51452b70e7864bb4aae6933814010c05/view,"N0010422QZA90    		    		 ",Purchasing,,703-695-7145,BRITTANY.A.LANGLETZ@NAVY.MIL,,,,,,,"CONTACT INFORMATION4N742.8GE7BB717-605-2982brittany.a.langletz@navy.mil ITEM UNIQUE IDENTIFICATION AND VALUATION (MAR 2022)19 INSPECTION OF SUPPLIES--FIXED-PRICE (AUG 1996)2 INSPECTION AND ACCEPTANCE - SHORT VERSION8XX INSPECTION AND ACCEPTANCE OF SUPPLIES26 INSPECTION/ACCEPTANCE POINT6 TIME OF DELIVERY (JUNE 1997)20CLIN 0001AASix (6)299 GENERAL INFORMATION-FOB-DESTINATION1B WIDE AREA WORKFLOW PAYMENT INSTRUCTIONS (DEC 2018)16Combo invoice and receiving reportN/ATo Be Determined (TBD)N00104TBDTBDW25G1UTBDN/AN/AN/AN/AN/AN/AN/A1-866-618-5988 - WAWF Helpdesk NAVY USE OF ABILITYONE SUPPORT CONTRACTOR - RELEASE OF OFFEROR INFORMATION (3-18))1 FIRM FIXED PRICE REPAIR PURCHASE ORDERS1 CONTRACT DEFINITIZATION (DEC 2012)5Firm fixed priceFirm Fixed PriceVendor shall complete a teardown and evaluation of the carcass and submit a firm fixed price quote within 90 days of the contract effective dateFirm Fixed PriceTBD EQUAL OPPORTUNITY (SEP 2016)2 BUY AMERICAN --FREE TRADE AGREEMENTS--BALANCE OF PAYMENTS PROGRAM - BASIC(DEVIATION 2020-O0019) (MAR 2022))3 ALTERNATE A, ANNUAL REPRESENTATIONS AND CERTIFICATIONS (NOV 2020)13 SMALL BUSINESS PROGRAM REPRESENTATIONS (SEP 2021)4 BUY AMERICAN-FREE TRADE AGREEMENTS-BALANCE OF PAYMENTS PROGRAM CERTIFICATE (DEVIATION 2020-O0019) (JUL 2020))3 BUY AMERICAN-BALANCE OF PAYMENTS PROGRAM CERTIFICATE-BASIC (NOV 2014)1 ANNUAL REPRESENTATIONS AND CERTIFICATIONS (JAN 2022)133329911250 NOTICE OF PRIORITY RATING FOR NATIONAL DEFENSE, EMERGENCY PERPARDENESS, AND ENRGY PROGAM USE (APRIL 2008))2X 1. This solicitation is for the repair of six(6) NSN: 7HH 3110 011296568, BEARING. 2. The IWST has determined that the 30 July 2018 Class Determination andFindings (D&F) for the Use of Special Emergency Procurement Authority (SEPA)and that the criteria in Paragraph 3 thereof are met. Proceed with the use oSEPA as appropriate. The carcass(es) are available for repair. 3. Please provide repair price as firm or not-to-exceed. Specify on proposalfirm or NTE. If you choose firm repair pricing, consider the following: Include repair price with all costs associated with receipt and completerepair of material that may be in unwhole condition, missing hardware,damaged, handling damage, missing parts, wear damage, and CAV reporting. All transportation to/from repair site will be paid for by US Navy. Also, please provide: Teardown and Evaluation Rate: _________ RTAT: ____________________ Throughput Constraint: ________________ Induction Expiration Date: ______________ 4. Price Reductions: Any assets for which the contractor does not meet the required RTAT will incura price reduction of XXXX per unit. This adjustment will be implemented via aReconciliation Modification at the end of contract performance. Price reductions made pursuant to this section shall not limit other remediesavailable to the Government for failure to meet required RTATs, including butnot limited to the Government's right to terminate for default. 5.When submitting quotes, specify any exceptions, i.e. MIL-STD packaging,MIL-STD labeling, inspection and acceptance locations, packaging houses,surplus material, etc. If no exceptions are indicated or received, award willbe based upon solicitation requirements. Changes or requests for changes afteraward will have consideration costs deducted from the unit price. 6.If supplies will be packaged at a location different from the offeroraddress, the offeror shall provide the name, street address, and cage code ofthe packaging facility. 7. If you are not the manufacturer of the material you are offering, you muststate who the manufacturer is (name and cage code) and be able to providetraceability information if requested. Examples of traceability documentatioinclude but are not limited to: purchase order/invoice between you and themanufacturer identifying the part number, revision level and quantities,manufactuerer's packing slip or certification identifying the part number,revision level, and quantities. 8. Source inspection required for this item. Please provide any additionalcosts associated with source inspection into your unit price. 9. All contractual documents (i.e. contracts, purchase orders, task orders,delivery orders and modifications) related to this procurement are considered ttransmitted by fax, or sent by other electronic commerce methods such asemail. The Government's acceptance of the contractor's proposal constitutesbilateralagreement to ""issue"" contractual documents as detailed herein. 10. The final delivery date for this requirement shall be on or before 299 daysafter effective date of the contract.  1. SCOPE 1.1 This contract/purchase order contains the requirements for repair and the contract quality requirements for the BEARING . 2. APPLICABLE DOCUMENTS 2.1 Applicable Documents - The document(s) listed below form a part of this contract/purchase order including modifications or exclusions. 2.1.1 ""Document References"" listed below must be obtained by the Contractor. Ordering information is included as an attachment to this contract/purchase order. DOCUMENT REF DATA=MIL-STD-130   K 000115A   3. REQUIREMENTS 3.1 Cage Code/Reference Number Items - The BEARING repaired under this contract/purchase order shall meet the operational and functional requirements as represented by the Cage Code(s) and reference number(s) listed below. All repair work shall be performed in accordance with the contractors repair/overhaul standard practices, manuals and directives including but not limited to drawings, technical orders, manufacturing operations, tooling instructions, approved repair standards and any other contractor or government approved documents developed to provide technical repair procedures. CAGE___Ref. No. ;04808 7161D80G01; 3.2 Marking - This item shall be physically identified in accordance with MIL-STD-130. 3.3 Changes in Design, Material Servicing, or Part Number - Except for a Code 1 change, which shall be processed as provided in the code statement shown below, no substitution of items shall be made until the NAVICP-MECH Contracting Officer has notified and approval has been given by issuance of a written change order. When any change in design, material, servicing or part number is made to replace or substitute any item to be furnished on this contract/purchase order, the Contractor shall furnish, for the substituting/replacement item, a drawing and an explanation of the reason for the change, explaining the reason therefor. If finished detail drawings are not available, shop drawings in the form used by the manufacturer will be acceptable for Government evaluation. When notifying the Procurement Contracting Officer of the reasons for making substitutions, the type of change shall be indicated by code number in accordance with one of the following statements: Code 1: PART NUMBER CHANGE ONLY - If the Manufacturer's Part Number indicated thereon has changed, but the parts are identical in all respects, supply the item and advise NAVICP-MECH immediately of the new part number. Code 2: Assembly (or set or kit) not furnished - Used following detail parts. Code 3: Part not furnished separately - Use assembly. Code 4: Part redesigned - Old and new parts are completely interchangeable. Code 5: Part redesigned - New part replaces old. Old part cannot replace new. Code 6: Part redesigned - Parts not interchangeable. 3.4 Mercury Free - The material supplied under this contract/purchase order is intended for use on submarines/surface ships and therefore shall contain no metallic mercury and shall be free from mercury contamination. Mercury contamination of the material will be cause for rejection. If the inclusion of metallic mercury is required as a functional part of the material furnished under this contract, the Contractor shall obtain written approval from the Procurement Contracting Officer before proceeding with manufacture. The contractor's request shall explain in detail the requirements for mercury, identify specifically the parts to contain mercury, and explain the method of protection against mercury escape. Such a request will be forwarded directly to the Procurement Contracting Officer with a copy to the applicable Government Inspector. Upon approval by the Contracting Officer, the vendor will provide a ""Warning Plate"" stating that metallic mercury is a functional part of the item and will include name and location of that part. The use of mercury, mercury compounds, or mercury-bearing instruments and/or equipment in a manner which might cause contamination in the manufacture, assembly, or test of material on this contract is prohibited. The most probable causes of contamination are direct-connected manometers, mercury vacuum pumps, mercury seals, or the handling of mercury in the immediate vicinity. Mercury switches, mercury in glass thermometers, standard cells and other items containing mercury may be used if they are located so as not to constitute a contamination hazard. If external contamination by metallic mercury occurs or is suspected, the following test may be used to determine whether contamination by metallic mercury exists or whether corrective cleaning measures have been effective. Enclose the equipment in a polyethylene bag or close-fitting airtight container for eight hours at room temperature (70 degrees F minimum).Sample the trapped air and if mercury vapor concentration is 0.01 mg/cu meter or more, the material is mercury contaminated insofar as the requirements of this contract are concerned. These requirements shall be included in any subcontract or purchase order hereunder and the Contractor shall insure SubContractor compliance with these requirements. Technical questions pertaining to these requirements shall be referred to the Procurement Contracting Officer via the cognizant Administrative Contracting Officer. For background, the following information is provided: Mercury is corrosive to gold, silver, nickel, stainless steels, aluminum and copper alloys. Stainless steels, nickel, and copper alloys are widely used in reactor plants and other submarine/surface ship systems. Accidental trapping of mercury in a component could cause serious damage to vital parts. Mercury is also toxic if inhaled, ingested, or absorbed through the skin. It is evident that grave consequences could result from small amounts of mercury vapor present in an unreplenished submarine/surface ship atmosphere. 4. QUALITY ASSURANCE 4.1 Responsibility for Inspection - Unless otherwise specified in the contract/purchase order, the Contractor is responsible for the performance of all inspection requirements as specified herein. Except as otherwise specified in the contract/purchase order, the Contractor may use his own or any other facilities suitable for the performance of the inspection requirements specified herein, unless disapproved by the Government. The Government reserves the right to perform any of the inspections set forth in the specification where such inspections are deemed necessary to assure supplies and services conform to prescribed requirements. 4.2 Inspection/Testing Repaired Items - The Contractor shall perform all inspection and testing requirements as specified in the original manufacturer's specifications and drawings. 4.3 Records - Records of all inspection work by the Contractor shall be kept complete and available to the Government during the performance of contract/purchase order and for a period of 365 calendar days after final delivery of supplies. 5. PACKAGING 5.1 Preservation, Packaging, Packing and Marking - Preservation, Packaging, Packing and Marking shall be in accordance with the Contract/Purchase Order Schedule and as specified below. MIL-STD 2073 PACKAGING APPLIES AS FOUND ELSEWHERE IN THE SCHEDULE 6. NOTES 6.1 Ordering Information for Document References - The Department of Defense Single Stock Point (DODSSP), Website http://www.dsp.dla.mil/, provides product information for the Department Of Defense Index Of Specifications and Standards (DODISS) (i.e.Military/Federal Specifications and Standards), Data Item Descriptions (DIDs), and other DODSSP Products. A. Availability of Cancelled Documents - The DODSSP offers cancelled documents that are required by private industry in fulfillment of contractual obligations in paper format. Documents can be requested by phoning the Subscription Services Desk. B. Commercial Specifications, Standards, and Descriptions - These specifications, standards and descriptions are not available from Government sources. They may be obtained from the publishers of the applicable societies. C. Ordnance Standards (OS), Weapons Specifications (WS), and NAVORD OSTD 600 Pages - These type publications may be obtained by submitting a request to: Commander, Indian Head Division, Naval Surface Warfare Center Code 8410P, 101 Strauss Avenue Indian Head, MD 20640-5035 D. On post-award actions, requests for ""Official Use Only"" and ""NOFORN"" (Not Releasable To Foreign Nationals) documents must identify the Government Contract Number, and must be submitted via the cognizant Defense Contract Management Command (DCMC) for certification of need for the document. On pre-award actions such requests must be submitted to the PCO for certification of need for the document. E. NOFORN Military Specifications and Standards (including Amendments, Change Notices and Supplements, but NOT interim Changes) to be ordered from: Contracting Officer NAVICP-MECH Code 87321 5450 Carlisle Pike P.O. Box 2020 Mechanicsburg, Pa. 17055-0788 F. Nuclear Reactor Publications Assigned NAVSEA Documents and Identification Numbers (i.e. NAVSEA Welding Standard, NAVSEA 250-1500-1) are to be ordered from: Commanding Officer NAVICP-MECH Code 009 5450 Carlisle Pike P.O. Box 2020 Mechanicsburg, Pa. 17055-0788 G. Technical Manuals Assigned NAVSEA Identification Numbers (i.e. NAVSEA Welding And Brazing Procedure, NAVSEA S9074-AQ-GIB-010/248) are to be ordered from: Naval Inventory Control Point Code 1 Support Branch 700 Robbins Avenue Phildelphia, Pa. 19111-5094 H. Interim Changes and Classified Specifications shall be obtained by submitting a request on DD Form 1425 to NAVICP-MECH."
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",SC,Hinge Kits,State/Local,,State of South Carolina,7-Jun-22,State of South Carolina,http://webprod.cio.sc.gov/SCSolicitationWeb/solicitationAttachment.do?solicitnumber=5400023445,"5400023445    		 ",Purchasing,,803-734-6062,,,,,,,,INSTALL HINGE KITS
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",SC,Magnetic Lock System,State/Local,,"Aiken County, South Carolina",2-Jun-22,"Aiken County, South Carolina",https://www.aikencountysc.gov/Depts/PRC/PRCDetail?qBidNumber=22-09-P,"22-09-P    		 ",Purchasing Official,,(803) 642-2064,,,,,,,,"Aiken County Government is soliciting for sealed proposals from qualified vendors for a magnetic lock system at our Emergency Medical Services substations in various areas of Aiken County and at the headquarters. Questions will be accepted via email only to procurement@aikencountysc.gov before 3:00 p.m. May 25, 2022. The Q & A will be posted to the Aiken County website before 5:00 p.m. May 27, 2022. Phone calls are not accepted."
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",TX,Quotes for Bolt and Buffer Set,State/Local,,"San Antonio Water System, Texas",2-Jun-22,"San Antonio Water System, Texas",https://sawsbid.ionwave.net/PublicDetail.aspx?bidID=1215&ret=OPEN&pg=0&bidNumber=&title=&type=&org=,"1140311    		 ",Purchasing,,210-704-7297,,,,,,,,1140311 (BOLT & BUFFER SET)
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",TX,Quotes for Mechanical Seal,State/Local,,"San Antonio Water System, Texas",7-Jun-22,"San Antonio Water System, Texas",https://sawsbid.ionwave.net/PublicDetail.aspx?bidID=1219&ret=OPEN&pg=0&bidNumber=&title=&type=&org=,"1140909    		 ",Purchasing,,210-704-7297,,,,,,,,1140909 (MECHANICAL SEAL)
," Supplies: Hardware, Abrasive, Nuts, Bolts, Bearing Bids",VA,"31--BEARING, SLEEVE",Federal,,Department of Defense,14-Jun-22,Department of Defense,https://sam.gov/opp/bbce3ff1423e48a19e9482cd6e9d0abd/view,"SPE4A622Q1529    		    		 ",Purchasing,,703-695-7145,DibbsBSM@dla.mil,,,,,,,"Proposed procurement for NSN 3120012443874 BEARING, SLEEVE: Line 0001 Qty 17731 UI EA Deliver To: DLA DISTRIBUTION DEPOT OKLAHOMA By: 0168 DAYS ADO The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes may be submitted electronically."
